filename,page_number,num_words,total time,memoryporcent,memorytotal,word,frecuencia
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Unidos',",15
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Mexicanos.-',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Presidencia',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('de',",4673
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('la',",1871
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('República.',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('CARLOS',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('SALINAS',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('DE',",345
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('GORTARI,',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Presidente',",5
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Constitucional',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('de',",4673
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('los',",1404
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Estados',",15
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Unidos',",15
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Mexicanos,',",9
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('a',",883
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('sus',",239
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('habitantes',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('sabed:',",1
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,82.9,"2948521984,","('Que',",6
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,83.0,"2948521984,","('el',",1160
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,83.0,"2948521984,","('H.',",113
LeydeAguasNacionales.pdf,<Page:112>,55365,323.576512186,83.0,"2948521984,","('Congreso',",4
